"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Babe Ruth","- - -","10616",".513","197","","","","","","","","","","","","","","","","1011327"
"Ted Williams","Red Sox","9791",".493","188","","","","","","","","","","","","","","","","1014040"
"Lou Gehrig","Yankees","9660",".477","173","","","","","","","","","","","","","","","","1004598"
"Jimmie Foxx","- - -","9670",".460","158","","","","","","","","","","","","","","","","1004285"
"Rogers Hornsby","- - -","9475",".459","173","","","","","","","","","","","","","","","","1006030"
"Hank Greenberg","- - -","6096",".453","154","","","","","","","","","","","","","","","","1004996"
"Ty Cobb","- - -","13072",".445","165","","","","","","","","","","","","","","","","1002378"
"Joe Jackson","- - -","5690",".443","165","","","","","","","","","","","","","","","","1006301"
"Joe DiMaggio","Yankees","7671",".439","152","","","","","","","","","","","","","","","","1003311"
"Tris Speaker","- - -","11988",".436","157","","","","","","","","","","","","","","","","1012309"
"Dan Brouthers","- - -","7658",".436","156","","","","","","","","","","","","","","","","1001486"
"Stan Musial","Cardinals","12712",".435","158","","","","","","","","","","","","","","","","1009405"
"Barry Bonds","- - -","12606",".435","173","","","0","","32.9%","20.6%","46.5%","45.8%","32.7%","21.5%","11.0%","47.6%","41.4%","78.8%","90.5%","1109"
"John McGraw","- - -","4926",".433","142","","","","","","","","","","","","","","","","1008542"
"Billy Hamilton","- - -","7584",".433","142","","","","","","","","","","","","","","","","1005270"
"Johnny Mize","- - -","7371",".433","157","","","","","","","","","","","","","","","","1009014"
"Bill Joyce","- - -","4149",".430","140","","","","","","","","","","","","","","","","1006633"
"Mel Ott","Giants","11337",".430","156","","","","","","","","","","","","","","","","1009904"
"Ed Delahanty","- - -","8389",".428","144","","","","","","","","","","","","","","","","1003155"
"Charlie Keller","- - -","4604",".428","152","","","","","","","","","","","","","","","","1006768"
"Mickey Mantle","Yankees","9909",".428","170","","","","","","","","","","","","","","","","1008082"
"Ralph Kiner","- - -","6256",".427","147","","","","","","","","","","","","","","","","1006923"
"Harry Heilmann","- - -","8960",".427","144","","","","","","","","","","","","","","","","1005590"
"Lefty O'Doul","- - -","3659",".426","142","","","","","","","","","","","","","","","","1009734"
"Hack Wilson","- - -","5556",".421","143","","","","","","","","","","","","","","","","1014083"
"Ken Williams","- - -","5616",".420","134","","","","","","","","","","","","","","","","1014012"
"Mike Trout","Angels","5514",".418","172","91.3","118.0","904","45.0%","36.3%","22.5%","41.2%","37.4%","35.4%","27.2%","14.0%","46.7%","39.2%","64.9%","87.5%","10155"
"Manny Ramirez","- - -","9774",".418","153","","","0","","38.2%","23.0%","38.8%","40.2%","31.2%","28.6%","10.3%","51.0%","38.7%","66.3%","85.7%","210"
"Earl Averill","- - -","7215",".417","131","","","","","","","","","","","","","","","","1000378"
"Frank Thomas","- - -","10075",".416","154","","","0","","25.6%","19.5%","54.9%","45.3%","28.0%","26.7%","13.9%","53.4%","32.6%","72.9%","89.6%","255"
"Jake Stenzel","- - -","3412",".416","130","","","","","","","","","","","","","","","","1012485"
"Mark McGwire","- - -","7660",".415","157","","","","","","","","","","","","","","","","1008559"
"Mickey Cochrane","- - -","6206",".413","132","","","","","","","","","","","","","","","","1002384"
"Ray Grimes","- - -","1788",".412","135","","","","","","","","","","","","","","","","1005065"
"Larry Walker","- - -","8030",".412","140","","","","","48.6%","19.8%","31.6%","44.3%","30.3%","25.4%","13.2%","57.8%","29.0%","","","455"
"Jesse Burkett","- - -","9605",".411","137","","","","","","","","","","","","","","","","1001682"
"Bob Johnson","- - -","8047",".411","133","","","","","","","","","","","","","","","","1006428"
"Chuck Klein","- - -","7168",".411","133","","","","","","","","","","","","","","","","1006991"
"Al Simmons","- - -","9515",".410","130","","","","","","","","","","","","","","","","1011978"
"Babe Herman","- - -","6226",".410","139","","","","","","","","","","","","","","","","1005691"
"Gavvy Cravath","- - -","4645",".410","150","","","","","","","","","","","","","","","","1002735"
"Eddie Collins","- - -","12037",".409","144","","","","","","","","","","","","","","","","1002451"
"Sam Thompson","- - -","6502",".409","136","","","","","","","","","","","","","","","","1013024"
"Willie Mays","- - -","12493",".409","154","","","","","","","","","","","","","","","","1008315"
"Roger Connor","- - -","8837",".409","143","","","","","","","","","","","","","","","","1002537"
"Honus Wagner","- - -","11739",".408","147","","","","","","","","","","","","","","","","1013485"
"Joe Harris","- - -","3574",".407","132","","","","","","","","","","","","","","","","1005421"
"Pete Browning","- - -","5315",".407","147","","","","","","","","","","","","","","","","1001554"
"Bill Terry","Giants","7111",".407","137","","","","","","","","","","","","","","","","1012927"
"Jack Fournier","- - -","6033",".406","141","","","","","","","","","","","","","","","","1004264"
"Denny Lyons","- - -","5010",".406","134","","","","","","","","","","","","","","","","1007880"
"Jackie Robinson","Dodgers","5802",".406","135","","","","","","","","","","","","","","","","1011070"
"Jim Thome","- - -","10313",".406","145","","","0","","40.1%","20.1%","39.8%","42.7%","32.2%","25.1%","11.9%","47.5%","40.6%","48.3%","79.4%","409"
"Bill Lange","Colts","3609",".406","122","","","","","","","","","","","","","","","","1007315"
"Jeff Bagwell","Astros","9431",".405","149","","","","","39.7%","21.9%","38.4%","49.5%","26.6%","23.9%","10.7%","58.6%","30.7%","","","547"
"Edgar Martinez","Mariners","8678",".405","147","","","","","41.9%","21.9%","36.3%","37.4%","30.9%","31.7%","12.3%","61.9%","25.8%","","","1086"
"Todd Helton","Rockies","9453",".405","132","","","0","","35.6%","25.3%","39.1%","36.5%","32.9%","30.5%","12.0%","56.0%","32.0%","79.7%","89.4%","432"
"Juan Soto","Nationals","1349",".405","152","91.5","113.7","397","46.3%","47.5%","19.6%","32.9%","37.2%","36.4%","26.5%","15.7%","45.2%","39.0%","59.8%","85.3%","20123"
"Joe Kelley","- - -","8120",".405","130","","","","","","","","","","","","","","","","1006776"
"Riggs Stephenson","- - -","5134",".405","132","","","","","","","","","","","","","","","","1012500"
"Charlie Gehringer","Tigers","10237",".405","124","","","","","","","","","","","","","","","","1004596"
"George Selkirk","Yankees","3322",".404","128","","","","","","","","","","","","","","","","1011732"
"Duke Snider","- - -","8237",".404","139","","","","","","","","","","","","","","","","1012230"
"Mike Donlin","- - -","4282",".404","139","","","","","","","","","","","","","","","","1003380"
"Frank Robinson","- - -","11743",".404","153","","","","","","","","","","","","","","","","1011066"
"Dolph Camilli","- - -","6352",".403","136","","","","","","","","","","","","","","","","1001860"
"Paul Waner","- - -","10762",".403","135","","","","","","","","","","","","","","","","1013597"
"Hank Aaron","- - -","13940",".403","153","","","","","","","","","","","","","","","","1000001"
"Jeff Heath","- - -","5560",".403","137","","","","","","","","","","","","","","","","1005560"
"Goose Goslin","- - -","9822",".402","127","","","","","","","","","","","","","","","","1004893"
"Chick Hafey","- - -","5113",".402","132","","","","","","","","","","","","","","","","1005191"
"Benny Kauff","- - -","3564",".402","149","","","","","","","","","","","","","","","","1006715"
"Mike Tiernan","Giants","6716",".402","132","","","","","","","","","","","","","","","","1013062"
"Hal Trosky","- - -","5747",".402","126","","","","","","","","","","","","","","","","1013190"
"Dale Alexander","- - -","2736",".402","126","","","","","","","","","","","","","","","","1000121"
"Tommy Henrich","Yankees","5409",".401","131","","","","","","","","","","","","","","","","1005664"
"Nap Lajoie","- - -","10460",".401","144","","","","","","","","","","","","","","","","1007259"
"Lance Berkman","- - -","7814",".400","144","","","0","","42.1%","19.7%","38.2%","39.0%","33.6%","27.5%","15.7%","49.0%","35.3%","55.2%","86.3%","548"
"Joey Votto","Reds","7595",".400","150","88.7","113.2","848","37.0%","40.5%","25.6%","33.8%","35.8%","34.3%","29.9%","11.0%","51.4%","37.6%","65.4%","85.5%","4314"
"Dick Allen","- - -","7314",".400","155","","","","","","","","","","","","","","","","1000137"
"Tip O'Neill","- - -","4720",".399","134","","","","","","","","","","","","","","","","1009821"
"Roy Cullenbine","- - -","4787",".399","136","","","","","","","","","","","","","","","","1002861"
"Ike Boone","- - -","1313",".399","120","","","","","","","","","","","","","","","","1001187"
"Arky Vaughan","- - -","7721",".399","138","","","","","","","","","","","","","","","","1013377"
"Elmer Flick","- - -","6414",".399","145","","","","","","","","","","","","","","","","1004158"
"Bill Salkeld","- - -","1048",".398","133","","","","","","","","","","","","","","","","1011383"
"Dick Wakefield","- - -","2505",".398","134","","","","","","","","","","","","","","","","1013498"
"Dave Orr","- - -","3411",".397","143","","","","","","","","","","","","","","","","1009848"
"Bill Kenworthy","- - -","1113",".397","137","","","","","","","","","","","","","","","","1006854"
"Chipper Jones","Braves","10614",".397","141","","","0","","43.1%","20.6%","36.3%","39.8%","33.3%","26.9%","11.5%","55.8%","32.7%","67.9%","86.1%","97"
"Al Rosen","Indians","4374",".397","138","","","","","","","","","","","","","","","","1011208"
"Albert Belle","- - -","6676",".396","139","","","","","","","","","","","","","","","","1000802"
"Elmer Smith","- - -","5400",".396","124","","","","","","","","","","","","","","","","1012134"
"Cupid Childs","- - -","6758",".396","123","","","","","","","","","","","","","","","","1002186"
"Larry Doby","- - -","6302",".396","137","","","","","","","","","","","","","","","","1003346"
"Ray Blades","Cardinals","2846",".396","126","","","","","","","","","","","","","","","","1001023"
"Aaron Judge","Yankees","1832",".396","151","94.9","121.1","523","54.7%","38.5%","23.2%","38.4%","41.5%","31.8%","26.7%","11.4%","40.5%","48.1%","32.5%","78.9%","15640"
"Bill Dickey","Yankees","7060",".396","126","","","","","","","","","","","","","","","","1003271"
"Alex Rodriguez","- - -","12207",".395","141","90.9","116.5","230","42.1%","43.0%","17.8%","39.2%","45.4%","32.5%","22.1%","15.1%","50.6%","34.3%","58.0%","81.8%","1274"
"Mike Schmidt","Phillies","10062",".395","147","","","","","","","","","","","","","","","","1011586"
"Earle Combs","Yankees","6507",".395","127","","","","","","","","","","","","","","","","1002478"
"Zeke Bonura","- - -","4026",".394","119","","","","","","","","","","","","","","","","1001176"
"Ross Youngs","Giants","5333",".394","135","","","","","","","","","","","","","","","","1014390"
"Ed Morgan","- - -","3257",".394","120","","","","","","","","","","","","","","","","1009176"
"Phil Weintraub","- - -","1630",".394","134","","","","","","","","","","","","","","","","1013741"
"Jason Giambi","- - -","8908",".394","140","","","0","","31.9%","18.5%","49.5%","47.2%","29.1%","23.7%","15.3%","50.3%","34.4%","59.4%","85.7%","818"
"Hugh Duffy","- - -","7827",".394","118","","","","","","","","","","","","","","","","1003533"
"Wally Berger","- - -","5663",".393","136","","","","","","","","","","","","","","","","1000875"
"Joe Medwick","- - -","8142",".393","133","","","","","","","","","","","","","","","","1008719"
"Jim Bottomley","- - -","8355",".393","124","","","","","","","","","","","","","","","","1001228"
"Joe Cronin","- - -","8838",".393","120","","","","","","","","","","","","","","","","1002796"
"Miguel Cabrera","- - -","10467",".393","145","92.4","115.6","911","49.3%","41.7%","22.6%","35.7%","38.6%","32.9%","28.5%","11.3%","49.1%","39.6%","64.6%","86.8%","1744"
"George Sisler","- - -","9013",".393","123","","","","","","","","","","","","","","","","1012021"
"George Grantham","- - -","5897",".393","123","","","","","","","","","","","","","","","","1004947"
"Kiki Cuyler","- - -","8098",".393","126","","","","","","","","","","","","","","","","1002914"
